# Locations file.  This file is used to create the location list as used
# in the location selection dialog.
# Format:
# + One record per line
# + Fields in a record are delimited with the tab character
# + Line beginning with a # character are comments
# + Field are as follows:
#   - LocationName
#   - Provice/State
#   - Region (Code/Full English Name)
#   - Type code (C/B=Capital, R=Regional capital,N=Normal city,
#                O=Observatory, L=lander, I=spacecraft impact
#                A=spacecraft crash
#   - Population (thousand)
#   - Latitude (deg[N/S])
#   - Longitude (deg[E/W])
#   - Altitude (meters)
#   - Light Pollution (1-9 Bortle scale, empty=auto)
#   - TimeZone (empty=auto)
#   - Planet (empty=Earth)
#   - LandscapeKey (empty=auto)
Federal	Entre Rios	08	N	16.333	30.95465S	58.78326W	67	5	America/Argentina/Cordoba
Esquina	Corrientes	08	N	26.399	30.01476S	59.5289W	44	5	America/Argentina/Cordoba
El Soberbio	Misiones	08	N	19.571	27.29847S	54.19877W	156	5	America/Argentina/Cordoba
Don Torcuato	Buenos Aires	08	N	71.356	34.49459S	58.62729W	25	6	America/Argentina/Buenos_Aires
Dolores	Buenos Aires	08	N	25.19	36.31321S	57.67918W	14	5	America/Argentina/Buenos_Aires
Curuzu Cuatia	Corrientes	08	N	36.39	29.79171S	58.0546W	79	5	America/Argentina/Cordoba
Corrientes	Corrientes	08	R	346.334	27.46784S	58.8344W	63	7	America/Argentina/Cordoba
Concordia	Entre Rios	08	N	145.21	31.39296S	58.02089W	30	7	America/Argentina/Cordoba
Concepcion del Uruguay	Entre Rios	08	N	67.895	32.48463S	58.23217W	21	6	America/Argentina/Cordoba
Colegiales	Buenos Aires F.D.	08	N	57	34.57365S	58.44924W	27	6	America/Argentina/Buenos_Aires
Chajari	Entre Rios	08	N	30.655	30.75048S	57.97962W	58	5	America/Argentina/Cordoba
Campana	Buenos Aires	08	N	86.86	34.16327S	58.95919W	19	6	America/Argentina/Buenos_Aires
Buenos Aires	Buenos Aires F.D.	08	C	2891.082	34.61315S	58.37723W	31	9	America/Argentina/Buenos_Aires
Boedo	Buenos Aires F.D.	08	N	48.231	34.63333S	58.41667W	19	5	America/Argentina/Buenos_Aires
Berazategui	Buenos Aires	08	N	180.523	34.76531S	58.21278W	20	7	America/Argentina/Buenos_Aires
Bella Vista	Buenos Aires	08	N	79.737	34.5651S	58.69034W	23	6	America/Argentina/Buenos_Aires
